sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-S4Q7-0003-SM-3NM8M,-3.816,-2.932,-0.1345,-6.506,4.469,8.632,-1.355,13.36,5.78,6.359,11.8,5.892,4.448,5.053,8.077,8.909,6.111,-4.608,-0.5543
TCGA-19-1787-01,0.8488,-2.388,-0.4521,-0.3201,4.42,7.843,5.593,13.06,1.96,5.646,10.33,7.028,4.905,5.458,8.371,7.644,7.4,1.022,1.417
TCGA-S9-A7J2-01,3.412,1.619,2.818,2.632,4.892,8.638,3.979,11.26,1.345,6.217,10.95,7.615,4.036,4.882,7.459,7.808,5.25,1.245,1.753
GTEX-QV31-1626-SM-2S1QC,-1.994,-3.308,-0.9971,1.71,3.237,8.668,4.414,11.2,-3.458,6.109,10.63,7.415,4.852,3.542,7.686,8.297,6.407,-0.1345,4.942
TCGA-G3-A3CH-11,-2.466,-2.178,-2.548,-0.4921,3.686,7.286,4.726,9.842,1.795,4.131,9.582,5.943,3.214,2.18,5.911,7.077,5.972,-9.966,-0.9686
TCGA-B5-A5OE-01,-1.214,-1.51,-0.5973,5.82,5.762,7.269,5.983,11.37,1.903,5.934,12.05,7.36,3.608,5.866,8.529,7.658,7.537,-0.5543,0.3231
GTEX-13QIC-0011-R1a-SM-5O9CJ,2.602,-2.727,0.7664,2.621,3.541,8.124,4.036,10.77,0.058,4.718,10.08,6.605,4.563,3.816,6.882,7.153,5.381,0.7058,-0.2671
TCGA-B2-5641-11,-0.4921,-1.595,4.788,6.884,3.828,8.977,3.945,10.71,1.27,5.608,9.828,7.299,5.703,3.635,7.725,7.993,6.515,-9.966,3.269
GTEX-ZPCL-0126-SM-4WWC8,1.993,-1.056,3.674,1.47,3.891,9.376,5.027,10.79,2.674,5.953,10.58,7.304,4.883,3.903,7.835,8.103,6.535,-2.178,2.834
TARGET-20-PANGDN-09,-1.639,-0.5125,-2.635,-2.932,1.986,6.725,2.018,11.24,1.868,4.907,10.5,5.157,3.369,1.581,6.421,7.478,4.726,-4.608,0.7664
GTEX-S33H-1226-SM-4AD69,-3.047,1.151,-1.831,2.628,2.997,8.078,2.991,7.643,2.89,4.759,10.03,4.977,3.804,3.208,6.028,6.475,5.41,-2.388,0.4657
GTEX-X88G-0426-SM-47JZ5,-2.315,-0.5756,1.537,2.296,3.331,9.08,4.221,10.79,-0.013,6.203,11.06,7.102,5.159,3.157,7.44,8.73,6.153,-1.214,3.708
TCGA-C8-A1HL-01,0.6699,4.989,0.6332,-0.9686,6.979,8.855,4.795,12.19,0.8883,5.721,10.95,7.272,4.037,3.691,8.607,8.012,6.908,-6.506,1.82
TCGA-EW-A2FS-01,-3.626,0.1388,0.9862,3.099,6.597,8.467,3.726,10.55,3.146,5.406,10.51,7.801,4.265,2.93,8.308,8.058,6.745,-5.012,1.299
GTEX-ZAKK-0326-SM-5EGHA,-1.781,0.1776,1.774,0.1257,3.123,9.143,4.27,13.62,-0.4325,5.099,10.24,6.929,5.101,2.936,6.82,8.422,5.701,-3.308,1.47
GTEX-1399S-1726-SM-5L3DI,-2.178,-1.214,4.341,0.6145,4.111,9.326,4.695,9.923,2.531,6.145,10.79,7.165,5.034,3.922,7.43,8.16,6.642,-1.639,2.776
GTEX-ZF29-0926-SM-4WKFZ,-2.388,-1.938,2.539,-0.7108,3.329,8.309,4.823,10.22,0.7407,5.815,11.71,7.375,4.869,4.415,7.435,7.414,6.356,7.118,1.151
TCGA-IR-A3L7-01,0.8246,-4.293,-1.732,-3.816,4.427,9.127,4.776,11.45,2.903,5.336,11.2,8.025,5.522,4.834,8.579,8.165,6.66,3.165,2.236
TCGA-05-4420-01,4.678,0.9935,5.507,-2.388,4.637,9.451,3.53,10.82,1.317,5.305,11.31,6.315,4.874,3.052,7.359,8.03,6.696,-3.816,-0.1504
TCGA-91-6840-01,2.872,-0.6416,2.057,6.869,4.098,7.399,4.789,10.26,3.254,6.078,11.07,6.733,4.568,3.674,8.163,8.191,6.741,-5.012,3.251
GTEX-13W3W-2626-SM-5SIA2,-5.012,0.2154,-2.548,-2.826,3.541,9.036,4.596,12.11,-0.7108,5.131,9.9,7.3,4.632,3.699,6.305,8.442,5.827,-3.171,2.311
GTEX-WQUQ-2526-SM-4MVNO,-1.318,1.884,3.384,2.907,4.227,9.301,5.461,10.7,1.727,6.123,10.61,7.226,4.89,3.575,7.326,8.094,6.188,-4.608,2.263
TCGA-R6-A8WC-01,1.46,2.571,-0.1665,-1.214,4.957,6.684,5.221,12.27,5.121,5.903,11.27,6.834,5.116,4.362,8.087,8.267,6.527,-6.506,3.655
GTEX-P44H-0526-SM-2XCF1,2.29,-2.315,2.671,-3.308,4.143,8.914,6.957,10.83,2.384,6.147,11.3,7.145,4.826,3.675,7.867,7.595,6.516,2.705,2.696
TCGA-B6-A402-01,2.488,-1.355,4.951,7.911,6.306,7.715,4.823,11.79,0.537,5.531,13.17,7.113,3.335,6.052,7.579,8.615,6.685,3.65,-0.0277
